J Cole -  see  Cole, J 
Jimmy Eat World - Big Casino
Jimmy Eat World - Bleed American
Jimmy Eat World - Futures
Jimmy Eat World - Middle, The
Jive Five, The - My True Story
JJ Fad - Supersonic
JLS - Take a Chance on Me
JLS - She Makes Me Wanna [w/Dev]
JLS - Proud
JLS - One Shot
JLS - Love You More
JLS - Hottest Girl in the World
JLS - Hold Me Down
JLS - Do You Feel What I Feel
JLS - Club Is Alive, The
JLS - Beat Again
JLS - Everybody in Love
JMSN - Love & Pain
Jo, Erika - I Break Things
JoBoxers - Boxer Beat
Jodeci - Stay
Jodeci - Lately
Jodeci - I'm Still Waiting
Jodeci - Get on Up
Jodeci - Forever My Lady
Jodeci - Feelin'
Jodeci - Cry for You
Jodeci - Come & Talk to Me
Joe - My Love
Joe - Stutter [w/Mystikal]
Joe - Thank God I Found You [w/Mariah Carey & 98 Degrees]
Joe - Wanna Get to Know You [w/G-Unit]
Joe - What If a Woman
Joe - Worst Case Scenario
Joe - Majic
Joe - Let's Stay Home Tonight
Joe - If I Was Your Man
Joe - I Wanna Know
Joe - E.R. (Emergency Room)
Joe - Don't Wanna Be a Player
Joe - Dear Joe
Joe - Closer
Joe - All the Things
Joe Jeffrey Group - My Pledge of Love
Joe Zelek Band - Moonshinin'
Joel, Billy - She's Always a Woman to Me
Joel, Billy - Shameless
Joel, Billy - Scenes from an Italian Restaurant
Joel, Billy - Say Goodbye to Hollywood
Joel, Billy - Running on Ice
Joel, Billy - River of Dreams, The
Joel, Billy - Pressure
Joel, Billy - Piano Man
Joel, Billy - Only the Good Die Young
Joel, Billy - New York State of Mind [w/Tony Bennett]
Joel, Billy - New York State of Mind
Joel, Billy - She's Got a Way
Joel, Billy - Sometimes a Fantasy
Joel, Billy - You're Only Human
Joel, Billy - You May Be Right
Joel, Billy - We Didn't Start the Fire
Joel, Billy - Vienna
Joel, Billy - Uptown Girl
Joel, Billy - To Make You Feel My Love
Joel, Billy - This Is the Time
Joel, Billy - Tell Her About It
Joel, Billy - Stranger, The
Joel, Billy - Storm Front
Joel, Billy - Stilletto
Joel, Billy - My Life
Joel, Billy - All About Soul
Joel, Billy - Goodnight Saigon
Joel, Billy - Entertainer, The
Joel, Billy - Downeaster Alexa
Joel, Billy - Don't Ask Me Why
Joel, Billy - Captain Jack
Joel, Billy - Big Shot
Joel, Billy - Ballad of Billy the Kid, The
Joel, Billy - Baby Grand [w/Ray Charles]
Joel, Billy - And So It Goes
Joel, Billy - Always a Woman
Joel, Billy - Allentown
Joel, Billy - Honesty
Joel, Billy - I Go to Extremes
Joel, Billy - Modern Woman
Joel, Billy - Minor Variation, A
Joel, Billy - Miami 2017 (Seen the Lights Go Out on Broadway)
Joel, Billy - Matter of Trust, A
Joel, Billy - Lullabye (Goodnight My Angel)
Joel, Billy - Longest Time, The
Joel, Billy - Leave a Tender Moment Alone
Joel, Billy - Keeping the Faith
Joel, Billy - Just the Way You Are
Joel, Billy - It's Still Rock & Roll to Me
Joel, Billy - Innocent Man, An
Joel, Billy - Movin' Out (Anthony's Song)
Joel, Phil - Man You Want Me to Be, The
Joey & Rory - Play the Song
John Butler Trio - One Way Road
John Butler Trio, The - Better Than
John, Elton - Philadelphia Freedom
John, Elton - Please
John, Elton - Recover Your Soul
John, Elton - Rocket Man
John, Elton - Rocket Man [live TV version w/Ryan Adams]
John, Elton - Runaway Train [w/Eric Clapton]
John, Elton - Sacrifice
John, Elton - Part Time Love
John, Elton - One, The
John, Elton - Nikita
John, Elton - Mona Lisas & Mad Hatters
John, Elton - Mama Can't Buy You Love
John, Elton - Madman Across the Water
John, Elton - Made in England
John, Elton - Lucy in the Sky with Diamonds
John, Elton - Love Lies Bleeding
John, Elton - Little Jeannie
John, Elton - Sad Songs Say So Much
John, Elton - Saturday Night's Alright for Fighting
John, Elton - Simple Life
John, Elton - You Can Make History
John, Elton - Written in the Stars [w/LeAnn Rimes]
John, Elton - Where We Both Say Goodbye [w/Catherine Britt]
John, Elton - Wake Up Wendy [South Park]
John, Elton - True Love [w/Kiki Dee]
John, Elton - Too Young
John, Elton - Tiny Dancer
John, Elton - This Train Don't Stop There Anymore
John, Elton - Take Me to the Pilot
John, Elton - Step Into Christmas
John, Elton - Sorry Seems to Be the Hardest Word [w/Ray Charles]
John, Elton - Sorry Seems to Be the Hardest Word [w/Blue]
John, Elton - Sorry Seems to Be the Hardest Word
John, Elton - Something About the Way You Look Tonight
John, Elton - Someone Saved My Life Tonight
John, Elton - Someday Out of the Blue
John, Elton - Your Song
John, Elton - Levon
John, Elton - Empty Garden (Hey Hey Johnny)
John, Elton - Don't Wanna Go on with You Like That
John, Elton - Don't Let the Sun Go Down on Me
John, Elton - Don't Go Breaking My Heart [w/Kiki Dee]
John, Elton - Daniel
John, Elton - Crocodile Rock
John, Elton - Club at the End of the Street
John, Elton - Circle of Life, The
John, Elton - Candle in the Wind
John, Elton - Can You Feel the Love Tonight
John, Elton - Burn Down the Mission
John, Elton - B-tch Is Back, The
John, Elton - Border Song
John, Elton - Blue Eyes
John, Elton - Blessed
John, Elton - Bennie & the Jets
John, Elton - Believe
John, Elton - Friends
John, Elton - Friends Never Say Goodbye
John, Elton - Last Song, The
John, Elton - Kiss the Bride
John, Elton - Island Girl
John, Elton - I'm Still Standing
John, Elton - I Want Love
John, Elton - I Guess That's Why They Call It the Blues[w/MaryJBlige]
John, Elton - I Guess That's Why They Call It the Blues
John, Elton - I Don't Wanna Go on with You Like That
John, Elton - Honky Cat
John, Elton - Ho! Ho! Ho! Who'd Be a Turkey at Christmas
John, Elton - Friends Never Say Goodbye [w/The Backstreet Boys]
John, Elton - Funeral for a Friend/Love Lies Bleeding
John, Elton - Ghetto Gospel [w/Tupac]
John, Elton - Goodbye to England's Rose
John, Elton - Goodbye Yellow Brick Road
John, Elton - Harmony
John, Elton - Healing Hands
John, Elton - Are You Ready for Love
John, Robert - Sad Eyes
Johnnie & Joe - Over the Mountain, Across the Sea
Johnny Hates Jazz - Turn Back the Clock
Johnny Hates Jazz - Shattered Dreams
Johnny Otis Show, The - Willie and the Hand Jive
Johns, Sammy - Chevy Van
Johns, Sarah - One in the Middle, The
Johnson, Andreas - Games We Play, The
Johnson, Andreas - Glorious
Johnson, Carolyn Dawn - Some Mother's Son
Johnson, Carolyn Dawn - Simple Life
Johnson, Carolyn Dawn - I Don't Want You to Go
Johnson, Carolyn Dawn - Georgia
Johnson, Carolyn Dawn - One Day Closer to You
Johnson, Carolyn Dawn - Complicated
Johnson, Carolyn Dawn - Die of a Broken Heart [w/Keith Urban]
Johnson, General & the Chairmen of the Board - Carolina Girls [w/The Chairmen of the Board]
Johnson, Jack - Horizon Has Been Defeated, The
Johnson, Jack - Taylor
Johnson, Jack - Sitting, Waiting, Wishing
Johnson, Jack - If I Had Eyes
Johnson, Jack - Upside Down
Johnson, Jack - Good People
Johnson, Jack - Free [w/Donavon Frankenreiter]
Johnson, Jack - Flake
Johnson, Jack - Bubbletoes
Johnson, Jack - Better Together
Johnson, Jamey - My Way to You
Johnson, Jamey - Living for a Song
Johnson, Jamey - High Cost of Living
Johnson, Jamey - Dollar, The
Johnson, Jamey - Cold Beer [w/Colt Ford]
Johnson, Jamey - Bad Angel [w/Dierks Bentley & Miranda Lambert]
Johnson, Johnny & the Bandwagon - Breakin' Down the Walls of Heartache
Johnson, Johnny & the Bandwagon - Sweet Inspiration
Johnson, Laurie - Sucu Sucu
Johnson, Lonnie - Tomorrow Night
Johnson, Marv - You Got What It Takes
Johnson, Michael - Bluer than Blue
Johnson, Michael - Give Me Wings
Johnson, Michael - Moon Is Still Over Her Shoulder, The
Johnson, Michael - Second Hand Heart
Johnson, Puff - Over and Over
Johnson, Puff - Forever More
Johnson, Robert - Sweet Home Chicago
Johnson, Syleena - Guess What
JoJo - Baby It's You
JoJo - How to Touch a Girl
JoJo - Leave (Get Out)
JoJo - Too Little Too Late
JoJo - Not That Kinda Girl
Joker & William Cartwright - On My Mind
Jolie & Wanted - Party on the Patio
Jolie & Wanted - I Would
Jolie & Wanted - Boom
Jolson, Al - You Made Me Love You
Jolson, Al - Toot-Toot-Tootsie
Jolson, Al - Swannee
Jolson, Al - Rock-a-Bye Your Baby
Jolson, Al - My Mammy
Jolson, Al - I'm Sitting on Top of the World
Jolson, Al - California Here I Come
Jolson, Al - Beautiful Dreamer
Jolson, Al - April Shower
Jolson, Al - Anniversary Song
Jolson, Al - After You've Gone
Jon B - They Don't Know
Jon B - Someone to Love [w/Babyface]
Jon B - Pretty Girl
Jon B - Don't Talk
Jonas Brothers, The - Who I Am [Nick Jonas solo]
Jonas Brothers, The - When You Look Me in the Eyes
Jonas Brothers, The - Send it on [w/Demi Lovato, Miley Cyrus & Selena Gomez]
Jonas Brothers, The - S.O.S.
Jonas Brothers, The - Paranoid
Jonas Brothers, The - Love Bug
Jonas Brothers, The - Fly with Me
Jonas Brothers, The - Burnin' Up
Jonas, Joe - See No More
Jonas, Nick & the Administration - Who I Am
Jones, Camille vs. Fedde Le Grand - Creeps, The
Jones, Danko - First Date
Jones, Donell - You Should Know
Jones, Donell - You Know That I Love You
Jones, Donell - U Know What's Up
Jones, Donell - Put Me Down
Jones, George - Take Me
Jones, George - Tall, Tall Trees
Jones, George - Tell Me My Lying Eyes Are Wrong
Jones, George - Tender Years
Jones, George - Tennessee Whiskey
Jones, George - Too Country [w//Brad Paisley & Bill Anderson & Buck Owens]
Jones, George - Two Story House [w/Tammy Wynette]
Jones, George - Still Doin' Time
Jones, George - Sinners & Saints
Jones, George - Shine On (Shine All Your Sweet Love On Me)
Jones, George - She's My Rock
Jones, George - She's Mine
Jones, George - She Thinks I Still Care
Jones, George - She Loved a Lot in Her Time
Jones, George - Right Left Hand, The
Jones, George - Race Is On, The
Jones, George - Picture of Me (Without You), A
Jones, George - Visit, The
Jones, George - Walk Through This World with Me
Jones, George - You've Still Got a Place in My Heart
Jones, George - Your Heart Turned Left (And I Was on the Right)
Jones, George - You Comb Her Hair
Jones, George - You Can Have Her [w/Johnny Paycheck]
Jones, George - Wrong's What I Do Best
Jones, George - Writing on the Wall
Jones, George - Wine Colored Roses
Jones, George - Window Up Above, The
Jones, George - Why Baby Why
Jones, George - Who's Gonna Fill Their Shoes
Jones, George - White Lightnin'
Jones, George - When the Green Grass Grows Over Me
Jones, George - What I Didn't Do
Jones, George - We're Not the Jet Set [w/Tammy Wynette]
Jones, George - We're Gonna Hold on [w/Tammy Wynette]
Jones, George - We Must Have Been Out of Our Minds [w/Melba Montgomery]
Jones, George - Walls Can Fall
Jones, George - One I Loved Back Then, The
Jones, George - 50,000 Names
Jones, George - He Stopped Loving Her Today
Jones, George - Grand Tour, The
Jones, George - Good Year for the Roses, A [w/Alan Jackson]
Jones, George - Good Year for the Roses, A
Jones, George - Golden Ring [w/Tammy Wynette]
Jones, George - God's Gonna Get 'Cha (For That) [w/Tammy Wynette]
Jones, George - Girl I Used to Know, A
Jones, George - Finally Friday
Jones, George - Door, The
Jones, George - Did You Ever [w/Tammy Wynette]
Jones, George - Country Boy Can Survive, A (Y2K Version)
Jones, George - Cold Hard Truth, The
Jones, George - Choices
Jones, George - Ceremony, The [w/Tammy Wynette]
Jones, George - Billy B Bad
Jones, George - Beer Run [w/Garth Brooks]
Jones, George - Bartender's Blues
Jones, George - Her Name Is...
Jones, George - High Tech Redneck
Jones, George - Just One More Chance
Jones, George - Love Bug
Jones, George - Loving You Could Never Be Better
Jones, George - Man He Was, The
Jones, George - My Elusive Dreams [w/Tammy Wynette]
Jones, George - Near You [w/Tammy Wynette]
Jones, George - Never Bit a Bullet Like This Before[w/SammyKershw]
Jones, George - Once You've Had the Best
Jones, George - I've Still Got Some Hurtin' Left to Do
Jones, George - I'm Not Ready Yet
Jones, George - Honky Tonk Myself to Death
Jones, George - Honky Tonk Song
Jones, George - I Always Get Lucky with You
Jones, George - I Don't Need Your Rockin' Chair
Jones, George - I Was Country When Country Wasn't Cool [w/Barbara Mandrell]
Jones, George - If God Met You [w/Tammy Wynette]
Jones, George - I'll Share My World with You
Jones, George - I'm a One Woman Man
Jones, Grace - Pull Up to the Bumper [w/Funkstar Deluxe]
Jones, Grace - Pull Up to the Bumper (Part 2)
Jones, Grace - Pull Up to the Bumper (Part 1)
Jones, Howard - What Is Love
Jones, Howard - Things Can Only Get Better
Jones, Howard - No One Is to Blame
Jones, Howard - New Song
Jones, Howard - Little Bit of Snow, A
Jones, Howard - Everlasting Love
Jones, Howard - Life in One Day
Jones, Howard - Lift Me Up
Jones, Howard - Like to Get to Know You Well
Jones, Jack - Wives and Lovers
Jones, Jack - Somewhere My Love
Jones, Jack - Love Boat Theme
Jones, Jack - Impossible Dream, The
Jones, Jack - Day in the Life of a Fool, A
Jones, Jack - Call Me Irresponsible
Jones, Jack - Alfie
Jones, Jack - Lady
Jones, Jason - Unlikely Angel
Jones, Jiggley - Baby Blue
Jones, Jim - We Fly High
Jones, Jim - Na Na Nana Na Na [w/Noe & Brittney Taylor]
Jones, Jim - Dancin on Me [w/Webstar & Juelz Santana]
Jones, Jimmy - Good Timing
Jones, Jimmy - Handy Man
Jones, Jive - Me Myself & I
Jones, Joe - You Talk Too Much
Jones, Kacey - You're the Reason Our Kids Are Ugly [w/Delbert McClinton]
Jones, Kacey - Never Wear Panties to a Party
Jones, Mike - I'm n' Luv (Wit a Stripper) [w/T-Pain]
Jones, Mike - Badd [w/Ying Yang Twins]
Jones, Mike - Back Then
Jones, Norah - Long Day Is Over, The
Jones, Norah - Look of Love, The [w/Diana Krall]
Jones, Norah - Nightingale
Jones, Norah - One Flight Down
Jones, Norah - Peel Me a Grape [w/Diana Krall]
Jones, Norah - Popsicle Toes [w/Diana Krall]
Jones, Norah - Seven Years
Jones, Norah - Shoot the Moon
Jones, Norah - Straighten Up and Fly Right [w/Diana Krall]
Jones, Norah - Sunrise
Jones, Norah - Thinking of You
Jones, Norah - Those Sweet Words
Jones, Norah - Turn Me On
Jones, Norah - What Am I to You
Jones, Norah - You're Getting to Be a Habit with Me[w/DianaKrall]
Jones, Norah - Lonestar
Jones, Norah - Let's Fall in Love [w/Diana Krall]
Jones, Norah - As Long as I Live [w/Diana Krall]
Jones, Norah - Body & Soul [w/Diana Krall]
Jones, Norah - Chasing Pirates
Jones, Norah - Cold Cold Heart
Jones, Norah - Come Away with Me
Jones, Norah - Creepin' in [w/Dolly Parton]
Jones, Norah - Devil May Care [w/Diana Krall]
Jones, Norah - Don't Know Why
Jones, Norah - Feeling the Same Way
Jones, Norah - Alright Ok You Win [w/Diana Krall]
Jones, Norah - Let's Face the Music and Dance [w/Diana Krall]
Jones, Norah - I've Got to See You Again
Jones, Norah - I'm an Errand Girl for Rhythm [w/Diana Krall]
Jones, Norah - Here We Go Again [w/Ray Charles]
Jones, Norah - Grass Is Blue, The [w/Dolly Parton]
Jones, Norah - Frim Fram Sauce [w/Diana Krall]
Jones, Oran 'Juice' - Rain, The
Jones, Quincy - You Put a Move on My Heart
Jones, Quincy - Slow Jams [w/Babyface, Tamia & Portrait]
Jones, Quincy - Just Once [w/James Ingram]
Jones, Quincy - I'm Yours [w/DeBarge & Garrett]
Jones, Quincy - Getta Bloomin' Move On! (Self Preservation Society)
Jones, Rickie Lee - Chuck E's in Love
Jones, Rickie Lee - Danny's All-Star Joint
Jones, Sammy - Chevy Van
Jones, Shae - Bad Boy
Jones, Shirley - Do You Get Enough Love
Jones, Spike - All I Want for Christmas Is My Two Front Teeth
Jones, Spike - Yes We Have No Bananas
Jones, Tom - Say You'll Stay Until Tomorrow
Jones, Tom - Puppet Man
Jones, Tom - Not Responsible
Jones, Tom - Never Tear Us Apart [w/Natalie Imbruglia]
Jones, Tom - My Mother's Eyes
Jones, Tom - Most Beautiful Girl in the World, The
Jones, Tom - Memphis Tennessee
Jones, Tom - Mama Told Me Not to Come [w/Stereophonics]
Jones, Tom - Love Me Tonight
Jones, Tom - Sex Bomb [w/Mousse T]
Jones, Tom - She's a Lady
Jones, Tom - I Who Have Nothing
Jones, Tom - You'll Never Walk Alone
Jones, Tom - You Can Leave Your Hat On
Jones, Tom - Without Love
Jones, Tom - With These Hands
Jones, Tom - What's New Pussycat
Jones, Tom - What the World Needs Now
Jones, Tom - Till
Jones, Tom - Thunderball
Jones, Tom - Kiss
Jones, Tom - It's Not Unusual
Jones, Tom - Funny Familiar Forgotten Feelings
Jones, Tom - Detroit City
Jones, Tom - Delilah
Jones, Tom - Daughter of Darkness
Jones, Tom - Burnin' Down the House [w/The Cardigans]
Jones, Tom - Boy from Nowhere, A
Jones, Tom - At This Moment
Jones, Tom - Are You Gonna Go My Way [w/Robbie Williams]
Jones, Tom - Anniversary Song
Jones, Tom - Green Green Grass of Home
Jones, Tom - Help Yourself
Jones, Tom - Impossible Dream, The
Jones, Tom - I'm Coming Home
Jones, Tom - I'll Never Fall in Love Again
Jones, Tom - If Loving You Is Wrong I Don't Want to Be Right
Jones, Tom - If I Ruled the World
Jones, Tom - If I Only Knew
Jones, Tom - If
Jones, Tom - Baby It's Cold Outside [w/Cerys Matthews]
Jones, Tom - I Believe
Joplin, Janis - Try (Just a Little Bit Harder)
Joplin, Janis - Summer Time
Joplin, Janis - Piece of My Heart
Joplin, Janis - Move Over
Joplin, Janis - Mercedes Benz
Joplin, Janis - Me & Bobby McGee
Joplin, Janis - Kosmic Blues
Joplin, Janis - Down on Me
Joplin, Janis - Cry Baby
Joplin, Janis - Ball and Chain
Joplin, Janis - Get It While You Can
Jordan, Alexis - Good Girl
Jordan, Alexis - Got 2 Luv U [w/Sean Paul]
Jordan, David - Sun Goes Down
Jordan, David - Move On
Jordan, Magid - Hold On, We're Going Home [w/Drake]
Jordan, Montell - Get It on Tonight
Jordan, Montell - Falling
Jordan, Montell - What's on Tonight
Jordan, Montell - This Is How We Do It
Jordan, Sass - High Road Easy
Jordan, Sass - You Don't Have to Remind Me
Jordi - Tu No Sospechas
Jordi - Me Estoy Volviendo Loco
Jorge, Sara - Beautiful World
Jos - No Valio la Pena
Josh Abbott Band - Oh, Tonight [w/Kacey Musgraves]
Josh Abbott Band - I'll Sing About Mine
Josh Joplin Group - Camera One
Journey - Open Arms
Journey - Remember Me
Journey - Send Her My Love
Journey - Separate Ways (Worlds Apart)
Journey - Still They Ride
Journey - Stone in Love
Journey - Suzanne
Journey - Walks Like a Lady
Journey - Wheel in the Sky
Journey - When You Love a Woman
Journey - Who's Crying Now
Journey - With Your Love
Journey - You Better Wait [Steve Perry solo]
Journey - Only the Young
Journey - Message of Love
Journey - After the Fall
Journey - Any Way You Want It
Journey - Anytime
Journey - Be Good to Yourself
Journey - Don't Stop Believin'
Journey - Faithfully
Journey - Feeling That Way
Journey - Foolish Heart [Steve Perry solo]
Journey - Lovin', Touchin', Squeezin'
Journey - Lights
Journey - Just the Same Way
Journey - I'll Be Alright Without You
Journey - If He Should Break Your Heart
Journey - Girl Can't Help It, The
Joy Division - Love Will Tear Us Apart
Juanes - Nada
Juanes - Mala Gente
Juanes - La Paga
Juanes - Fotograf
Juanes - Es por Ti
Juanes - Dios Le Pido, A
Judas Priest - You've Got Another Thing Comin'
Judas Priest - Turbo Lover
Judas Priest - Screaming for Vengeance
Judas Priest - Revolution
Judas Priest - Living After Midnight
Judas Priest - Johnny B. Goode
Judas Priest - Hellion/Electric Eye, The
Judas Priest - Hell Bent for Leather
Judas Priest - Heading Out to the Highway
Judas Priest - Green Manalishi, The (with the Two-Pronged Crown)
Judas Priest - Breaking the Law
Judd, Cledus T. - Let's Shoot Dove (parody of Let's Make Love)
Judd, Cledus T. - Man of Constant Borrow (parody of Soggy Bottom Boys)
Judd, Cledus T. - More Beaver (parody of Me Neither)
Judd, Cledus T. - My Cellmate Thinks I'm Sexy (parody of She Thinks My Tractor's Sexy)
Judd, Cledus T. - Paycheck Woman [parody of Redneck Woman)
Judd, Cledus T. - Plowboy
Judd, Cledus T. - Tree's on Fire (parody of Ring of Fire)
Judd, Cledus T. - It's a Great Day to Be a Guy (parody of Travis Tritt)
Judd, Cledus T. - Indian In-Laws (parody of Indian Outlaw)
Judd, Cledus T. - Breath (parody of Breathe By Faith Hill)
Judd, Cledus T. - Cledus the Karaoke King
Judd, Cledus T. - Did I Shave My Back for This [parody of Deana Carter)
Judd, Cledus T. - Don't Mess with America
Judd, Cledus T. - Goodbye Squirrel (parody of Goodbye Earl)
Judd, Cledus T. - Granpa Got Run Over By a John Deere
Judd, Cledus T. - How Do You Milk a Cow
Judd, Wynonna - Rock Bottom
Judd, Wynonna - Only Love
Judd, Wynonna - No One Else on Earth
Judd, Wynonna - My Strongest Weakness
Judd, Wynonna - My Angel Is Here
Judd, Wynonna - Little Bit of Love, A
Judd, Wynonna - She Is His Only Need
Judd, Wynonna - Somebody to Love You
Judd, Wynonna - Tell Me Why
Judd, Wynonna - Testify to Love
Judd, Wynonna - To Be Loved By You
Judd, Wynonna - What the World Needs Now Is Love
Judd, Wynonna - When Love Starts Talking
Judd, Wynonna - Without Your Love I'm Goin' Nowhere
Judd, Wynonna - Woman to Woman
Judd, Wynonna - Let's Make a Baby King
Judd, Wynonna - It's Never Easy to Say Goodbye
Judd, Wynonna - Is It Over Yet?
Judd, Wynonna - Always Will
Judd, Wynonna - Attitude
Judd, Wynonna - Bad Goodbye, A [w/Clint Black]
Judd, Wynonna - Can't Nobody Love You Like I Do
Judd, Wynonna - Come Some Rainy Day
Judd, Wynonna - Don't Look Back
Judd, Wynonna - Flies on the Butter (You Can't Go Home Again) [w/Naomi Judd]
Judd, Wynonna - Freedom
Judd, Wynonna - Girl Thing [w/Tammy Wynette]
Judd, Wynonna - I Saw the Light
Judd, Wynonna - Heaven Help My Heart
Judd, Wynonna - Heaven Help Me
Judd, Wynonna - Healing
Judd, Wynonna - Going Nowhere
Judd, Wynonna - Girls with Guitars
Judds, The - River of Time
Judds, The - One Man Woman
Judds, The - One Hundred & Two
Judds, The - Maybe Your Baby's Got the Blues
Judds, The - Mama, He's Crazy
Judds, The - Love Is Alive
Judds, The - Rockin' with the Rhythm of the Rain
Judds, The - Stuck in Love
Judds, The - Sweetest Gift, The
Judds, The - Turn It Loose
Judds, The - What Child Is This
Judds, The - When King Jesus Calls His Children Home
Judds, The - Why Not Me
Judds, The - Working in the Coalmine
Judds, The - Young Love
Judds, The - Love Can Build a Bridge
Judds, The - Let Me Tell You About Love
Judds, The - John Deere Tractor
Judds, The - Beautiful Star of Bethlehem
Judds, The - Born to Be Blue
Judds, The - Change of Heart
Judds, The - Cry Myself to Sleep
Judds, The - Don't Be Cruel
Judds, The - Dream Chaser
Judds, The - Flies on the Butter (You Can't Go Home Again)
Judds, The - Girl's Night Out
Judds, The - Give a Little Love
Judds, The - If I Were You
Judds, The - I Know Where I'm Going
Judds, The - Have Mercy
Judds, The - Had a Dream for the Heart
Judds, The - Guardian Angels
Judds, The - Grandpa
Jude - I'm Sorry Now
Judge Dread - Big Seven
Juicy J - Dark Horse [w/Katy Perry]
Jump 5 - Spinning Around
Jump 5 - God Bless the USA
Jump 5 - Forever in My Heart
Jump 5 - Change a Heart, Change the World
Jump 5 - Beauty and the Beast
Jump 5 - All I Can Do
Jump n' Saddle Band - Curly Shuffle, The
Junior - Sexy Lady [w/Young Berg]
Junior - Mama Used to Say (Part 2)
Junior - Mama Used to Say (Part 1)
Junior - Mama Used to Say
Junior Jack & Shena - Dare Me
Junior Senior - Move Your Feet
Junior Senior - Rhythm Bandits
Jurassic 5 - Concrete Schoolyard
Just Jack - Glory Days
Just Jack - Starz in their Eyes
Justice Collective - He Ain't Heavy He's My Brother
Justice, Jimmy - When My Little Girl Is Smiling
Juvenile - Slow Motion [w/Soulja Slim]
Juvenile - In My Life [w/Mannie Fresh]
Juvenile - Got Get It
Juvenile - Back That Azz Up [w/Mannie Fresh & Lil Wayne]
JXL & Elvis Presley - Little Less Conversation, A
Jypsi - Mister Officer
Jyve V - Entre T
