Wagner, Jack - All I Need
Williams, Robbie - Angels
Williams, Robbie - Ain't That a Kick in the Head
Williams, Robbie - Feel
Williams, Robbie - Freedom
Williams, Robbie - Goin' Crazy [w/Dizzee Rascal]
Williams, Robbie - Make Me Pure
Williams, Robbie - Mack the Knife
Williams, Robbie - Lovelight
Williams, Robbie - Let Me Entertain You
Williams, Robbie - Let Love Be Your Energy
Williams, Robbie - Lazy Days
Williams, Robbie - Knutsford City Limits
Williams, Robbie - Kids [w/Kylie Minogue]
Williams, Robbie - Karma Killer
Williams, Robbie - It's Only Us
Williams, Robbie - It Was a Very Good Year
Williams, Robbie - I Will Talk & Hollywood Will Listen
Williams, Robbie - Hot Fudge
Williams, Robbie - Have You Met Miss Jones
Williams, Robbie - Handsome Man
Williams, Roger - Autumn Leaves
Williams, Tex & His Western Caravan - Smoke! Smoke! Smoke! That Cigarette
Williams, Vanessa - You Are My Home [w/Chayanne]
Williams, Vanessa - Work to Do
Williams, Vanessa - Where Do We Go from Here
Williams, Vanessa - Sweetest Days, The
Williams, Vanessa - Save the Best for Last
Williams, Vanessa - Oh How the Years Go By
Williams, Vanessa - Love Is [w/Brian McKnight]
Williams, Vanessa - Just for Tonight
Williams, Vanessa - Happiness
Williams, Vanessa - Dreamin'
Williams, Vanessa - Do You Hear What I Hear
Williams, Vanessa - Colors of the Wind [from Pocahontas]
Williams, Vesta - Better Days
Williamson, Sonny Boy - Bring It on Home
Willis, Chris - Love Is Gone [w/David Guetta]
Willis, Chris - Gettin' Over You [w/David Guetta]
Willis, Chuck - C C Rider
Willis, Chuck - It's Too Late
Willis, Chuck - See See Rider
Willis, Chuck - What Am I Living For
Willis, Kelly - If I Left You
Willis, Kelly - Heaven's Just a Sin Away
Willis, Kelly - Don't Come the Cowboy with Me Sonny Jim
Willis, Matt - Don't Let It Go to Waste
Willmon, Trent - On Again Tonight
Willmon, Trent - Dixie Rose Deluxe's Honky Tonk
Willmon, Trent - Beer Man
Wills, Bob & his Texas Playboys - Stay a Little Longer
Wills, Bob & his Texas Playboys - St. Louis Blues
Wills, Bob & his Texas Playboys - San Antonio Rose
Wills, Bob & his Texas Playboys - Roly Poly
Wills, Bob & his Texas Playboys - New San Antonio Rose
Wills, Bob & his Texas Playboys - Faded Love
Wills, David - There's a Song on the Jukebox
Wills, Mark - Jacob's Ladder
Wills, Mark - Loving Every Minute
Wills, Mark - Places I've Never Been
Wills, Mark - She's in Love
Wills, Mark - That's a Woman
Wills, Mark - When You Think of Me
Wills, Mark - Wish You Were Here
Wills, Mark - I'm Not Gonna Do Anything Without You [w/Jamie O'Neal]
Wills, Mark - I Do (Cherish You)
Wills, Mark - High Low and in Between
Wills, Mark - 19 Somethin'
Wills, Mark - Almost Doesn't Count
Wills, Mark - And the Crowd Goes Wild
Wills, Mark - Back at One
Wills, Mark - Crowd Goes Wild, and The
Wills, Mark - Don't Laugh at Me
Wills, Mark - Everything There Is to Know About You
Wills, Viola - Gonna Get Along Without You Now
Wilshire - Special
Wilson Phillips - You're in Love
Wilson Phillips - You Won't See Me Cry
Wilson Phillips - Release Me
Wilson Phillips - Monday Without You [The Wilsons]
Wilson Phillips - Impulsive
Wilson Phillips - Hold On
Wilson Phillips - Daniel
Wilson, Al - Show and Tell
Wilson, Al - Snake, The
Wilson, Ann - Show and Tell
Wilson, Ann - Almost Paradise [w/Mike Reno]
Wilson, Ann -  see also  Heart 
Wilson, Brian -  see also  Beach Boys, The 
Wilson, Brian - Monday Without You [The Wilsons]
Wilson, Brian - Your Imagination
Wilson, Charlie - Signs  [w/Snoop Dogg & Justin Timberlake]
Wilson, Charlie - More than You'll Ever Know [w/Boyz II Men]
Wilson, Charlie - Charlie Last Name: Wilson
Wilson, Charlie - Can't Live Without You
Wilson, Charlie - Beautiful [w/Snoop Dogg & Pharrell]
Wilson, Danny - Mary's Prayer
Wilson, Frank J. - Last Kiss
Wilson, Gretchen - Our America [w/Big and Rich & Cowboy Troy]
Wilson, Gretchen - Paycheck Woman [Cledus T. Judd parody of Redneck Woman)
Wilson, Gretchen - Pocahontas Proud
Wilson, Gretchen - Politically Uncorrect [w/Merle Haggard]
Wilson, Gretchen - Raining on Me
Wilson, Gretchen - Redneck Woman
Wilson, Gretchen - Skoal Ring
Wilson, Gretchen - That's How They Do It in Dixie [w/Hank Williams Jr]
Wilson, Gretchen - What Happened
Wilson, Gretchen - When I Think About Cheatin'
Wilson, Gretchen - When It Rains
Wilson, Gretchen - One of the Boys
Wilson, Gretchen - One Bud Wiser
Wilson, Gretchen - All Jacked Up
Wilson, Gretchen - California Girls
Wilson, Gretchen - Come to Bed [w/John Rich]
Wilson, Gretchen - Full Time Job
Wilson, Gretchen - Good Morning Heartache
Wilson, Gretchen - Here for the Party
Wilson, Gretchen - Holdin' You
Wilson, Gretchen - Homewrecker
Wilson, Gretchen - I Don't Feel Like Loving You Today
Wilson, Gretchen - If I Could Do It All Again
Wilson, Gretchen - Lips of a Bottle [w/Blaine Larsen]
Wilson, Jackie - Reet Petite
Wilson, Jackie - Tell It Like It Is
Wilson, Jackie - That's Why (I Love You So)
Wilson, Jackie - To Be Loved
Wilson, Jackie - Lonely Teardrops
Wilson, Jackie - I Get the Sweetest Feeling
Wilson, Jackie - Higher and Higher, (Your Love Keeps Lifting Me)
Wilson, Jackie - Higher and Higher
Wilson, Jackie - Doggin' Around
Wilson, Jackie - Baby Workout
Wilson, Kevin Bloody - Santa's F-ckin' Roadies
Wilson, Kevin Bloody - Kev's Courting Song (aka Do You F-ck on First Dates?)
Wilson, Kevin Bloody - Ho Ho F-cking Ho
Wilson, Meri - Cry Me a River
Wilson, Meri - Just What I Always Wanted
Wilson, Meri - Peter the Meter Reader
Wilson, Meri - Telephone Man
Wilson, Nancy - Satin Doll
Wilson, Nancy - I Wish You Love
Wilson, Tim - Ballad of John Rocker, The
Wilsons, The - Monday Without You
Winans, Cece & Bebe - Love of My Life
Winans, Cece & Bebe - Heaven
Winans, Cece & Bebe - Count on Me [CeCe & Whitney Houston]
Winans, Cece & Bebe - Close to You
Winans, Mario - Through the Pain [w/Diddy]
Winans, Mario - Never Really Was
Winans, Mario - I Need a Girl (Part Two) [w/Diddy & Ginuwine & Loon & Tammy Ruggieri]
Winans, Mario - I Don't Wanna Know [w/Diddy & Enya]
Winans, Mario - Down for Me [w/Loon]
Winbush, Angela - Treat U Rite
Winehouse, Amy - You Know I'm No Good [w/Ghostface Killah]
Winehouse, Amy - You Know I'm No Good
Winehouse, Amy - Valerie [w/Mark Ronson]
Winehouse, Amy - Tears Dry on their Own
Winehouse, Amy - Rehab
Winehouse, Amy - Our Day Will Come
Winehouse, Amy - Love Is a Losing Game
Winehouse, Amy - Like Smoke
Winehouse, Amy - Cherry Wine [ft. Nas]
Winehouse, Amy - Back to Black
Winery Dogs, The - Desire
Winery Dogs, The - Time Machine
Winger - Seventeen
Winger - Miles Away
Winger - Headed for a Heartbreak
Wings (w/Paul McCartney) - With a Little Luck
Wings (w/Paul McCartney) - Silly Love Songs
Wings (w/Paul McCartney) - My Love
Wings (w/Paul McCartney) - Mull of Kintyre
Wings (w/Paul McCartney) - Maybe I'm Amazed
Wings (w/Paul McCartney) - Live and Let Die
Wings (w/Paul McCartney) - Listen to What the Man Said
Wings (w/Paul McCartney) - Let Me Roll It
Wings (w/Paul McCartney) - Let 'em In
Wings (w/Paul McCartney) - Band on the Run
Wings (w/Paul McCartney) - C Moon
Wings (w/Paul McCartney) - Coming Up
Wings (w/Paul McCartney) - Helen Wheels
Wings (w/Paul McCartney) - Hi, Hi, Hi
Wings (w/Paul McCartney) - Jet
Wings (w/Paul McCartney) - Junior's Farm
Winslet, Kate - What If
Winter, Edgar - Free Ride
Winter, Edgar - Keep Playing That Rock n' Roll
Winter, Johnny - Mojo Boogie
Winwood, Steve -  see also  Blind Faith 
Winwood, Steve - While You See a Chance
Winwood, Steve - Valerie
Winwood, Steve - Roll with It
Winwood, Steve - Higher Love
Winwood, Steve - Finer Things, The
Winwood, Steve - Don't You Know What the Night Can Do [Traffic]
Winwood, Steve - Back in the High Life
Winwood, Steve -  see also  Traffic 
Winwood, Steve -  see also  Spencer Davis Group 
Wiseguys, The - Start the Commotion
Wiseguys, The - Ooh La La
Withers, Bill - Use Me
Withers, Bill - Lovely Day
Withers, Bill - Lean on Me
Withers, Bill - Just the Two of Us [w/Grover Washington Jr.]
Withers, Bill - Ain't No Sunshine
Withers, Elisabeth - Be With You
Witherspoon, Jimmy - Ain't Nobody's Business
Wizzard - I Wish It Could Be Christmas Everyday
WK, Andrew - We Want Fun
WK, Andrew - Party Hard
WK, Andrew - I Love NYC
Wogan, Terry - Floral Dance, The
Wolf, Brad - Love Oughta to Be Perfect [w/Pete Rose]
Wolf, Brad - Tan Lines
Wolf, Brad - Too Many Mondays (Not Enough Saturday Nights)
Wolf, Peter - see  J. Geils Band 
Wolfman - For Lovers [w/Pete Doherty]
Wolfmother - Joker & the Thief
Wolfmother - Woman
Wolfsheim - Kein Zuruck
Womack & Womack - Teardrops
Womack, Bobby - Don't Knock My Love
Womack, Bobby - Looking for a Love
Womack, Bobby - Stylo [w/Gorillaz & Mos Def]
Womack, Lee Ann - Something Worth Leaving Behind
Womack, Lee Ann - Solitary Thinkin'
Womack, Lee Ann - Ring of Fire [w/Alan Jackson]
Womack, Lee Ann - Now You See Me Now You Don't
Womack, Lee Ann - Never Again Again
Womack, Lee Ann - Mendocino County Line [w/Willie Nelson]
Womack, Lee Ann - Man with 18 Wheels
Womack, Lee Ann - Songs for Sale [w/David Nail]
Womack, Lee Ann - Stronger than I Am
Womack, Lee Ann - There Is a God
Womack, Lee Ann - There's More Where That Came From
Womack, Lee Ann - Twenty Years and Two Husbands Ago
Womack, Lee Ann - What Are You Doing New Year's Eve
Womack, Lee Ann - Why They Call It Falling
Womack, Lee Ann - Wrong Girl, The
Womack, Lee Ann - You Should've Lied
Womack, Lee Ann - You've Got to Talk to Me
Womack, Lee Ann - Lord I Hope This Day Is Good
Womack, Lee Ann - Little Past Little Rock, A
Womack, Lee Ann - Ashes By Now
Womack, Lee Ann - Blame It on Me
Womack, Lee Ann - Buckaroo
Womack, Lee Ann - Does My Ring Burn Your Finger
Womack, Lee Ann - Don't Tell Me
Womack, Lee Ann - Finding My Way Back Home
Womack, Lee Ann - Fool, The
Womack, Lee Ann - Forever Everyday
Womack, Lee Ann - Good News, Bad News [w/George Strait]
Womack, Lee Ann - He Oughta Know That By Now
Womack, Lee Ann - Last Call
Womack, Lee Ann - King of Broken Hearts, The
Womack, Lee Ann - I'll Think of a Reason Later
Womack, Lee Ann - I May Hate Myself in the Morning
Womack, Lee Ann - I Know Why the River Runs
Womack, Lee Ann - I Hope You Dance [w/Sons of the Desert]
Womack, Lee Ann - He'll Be Back
Wombats, The - Let's Dance to Joy Division
Wombats, The - Moving to New York
Wombles, The - Remember You're a Womble
Wombles, The - Wombling Song, The
Wonder Stuff, The - Size of a Cow, The
Wonder, Stevie - You Are the Sunshine of My Life
Wonder, Stevie - Shoo-Be-Doo-Be-Doo-Da-Day
Wonder, Stevie - Send One Your Love
Wonder, Stevie - Ribbon in the Sky
Wonder, Stevie - Place in the Sun, A
Wonder, Stevie - Part-Time Lover
Wonder, Stevie - Overjoyed
Wonder, Stevie - Never Give You Up [w/Raphael Saadiq & CJ Hilton]
Wonder, Stevie - My Cherie Amour
Wonder, Stevie - Signed, Sealed, Delivered I'm Yours
Wonder, Stevie - Signed, Sealed, Delivered I'm Yours [w/Blue & Angie Stone]]
Wonder, Stevie - Sir Duke
Wonder, Stevie - You and I
Wonder, Stevie - Yester-Me, Yester You, Yesterday
Wonder, Stevie - What the Fuss
Wonder, Stevie - Uptight (Everything's Alright)
Wonder, Stevie - These Three Words
Wonder, Stevie - That's What Friends Are for [w/Dionne Warwick]
Wonder, Stevie - Superstition
Wonder, Stevie - Stay Gold
Wonder, Stevie - Master Blaster (Jammin')
Wonder, Stevie - Living for the City
Wonder, Stevie - For Once in My Life
Wonder, Stevie - Fingertips-Pt.2
Wonder, Stevie - Ebony & Ivory [w/Paul McCartney]
Wonder, Stevie - Don't You Worry 'bout a Thing
Wonder, Stevie - Christmas Song, The [w/India.Arie]
Wonder, Stevie - Boogie on Reggae Woman
Wonder, Stevie - Blame It on the Sun
Wonder, Stevie - As
Wonder, Stevie - All I Do
Wonder, Stevie - For Your Love
Wonder, Stevie - From the Bottom of My Heart
Wonder, Stevie - Lately
Wonder, Stevie - Isn't She Lovely
Wonder, Stevie - If You Really Love Me
Wonder, Stevie - I Wish
Wonder, Stevie - I Was Made to Love Her
Wonder, Stevie - I Just Called to Say I Love You
Wonder, Stevie - How Come, How Long [w/Babyface]
Wonder, Stevie - Higher Ground
Wonder, Stevie - Happy Birthday
Wonder, Wayne - Perfect Proposal
Wonder, Wayne - No Letting Go
Wonders, The - That Thing You Do
Wonderstuff, The - Welcome to the Cheap Seats
Wood, Brenton - Gimme Little Sign
Wood, David - Ride the Wild West
Wood, Jeff - You Just Get One
Wood, Jeff - Use Mine
Wood, Victoria - Ballad of Barry and Freda
Woods, Dewayne - Only You Can Deliver [w/Kevin Vasser]
Woodward, Lucy - Dumb Girls
Wooley, Sheb - Purple People Eater
Woolpackers - Hillbilly Rock Hillbilly Roll
Worley, Darryl - Living in the Here and Now
Worley, Darryl - Nothin' But a Love Thang
Worley, Darryl - Second Wind
Worley, Darryl - Sideways
Worley, Darryl - Tennessee River Run
Worley, Darryl - Tequila on Ice
Worley, Darryl - When You Need My Love
Worley, Darryl - Whistle Dixie
Worley, Darryl - If Something Should Happen
Worley, Darryl - I Will Hold My Ground
Worley, Darryl - I Need a Breather
Worley, Darryl - Awful, Beautiful Life
Worley, Darryl - Best of Both Worlds
Worley, Darryl - Family Tree
Worley, Darryl - Good Day to Run, A
Worley, Darryl - Have You Forgotten?
Worley, Darryl - I Just Came Back from a War
Worley, Darryl - I Love Her She Hates Me
Worley, Darryl - I Miss My Friend
Worsham, Charlie - Could It Be
Wray, Nicole - If I Was Your Girlfriend
Wreckers, The - Tennessee
Wreckers, The - My, Oh My
Wreckers, The - Leave the Pieces
Wreckers, The - I'm Feeling You [w/Santana & Michelle Branch]
Wreckx n' Effect - Rump Shaker
Wretch 32 - Blackout [w/Shakka]
Wretch 32 - Don't Go [w/Josh Kumra]
Wretch 32 - Forgiveness [w/Etta Bond]
Wretch 32 - Hush Little Baby [w/Ed Sheeran]
Wretch32 - Doing OK [w/Jacob Banks]
Wright, Betty - Old Songs, The [w/The Roots]
Wright, Betty - Grapes on a Vine [w/The Roots & Lil Wayne]
Wright, Betty - Clean Up Woman
Wright, Chely - What If We Fly
Wright, Chely - Til I Was Loved By You
Wright, Chely - Single White Female
Wright, Chely - Shut Up and Drive
Wright, Chely - She Went Out for Cigarettes
Wright, Chely - One Night in Las Vegas [w/Brad Paisley]
Wright, Chely - Never Love You Enough
Wright, Chely - Love He Left Behind, The
Wright, Chely - Just Another Heartache
Wright, Chely - Jezebel
Wright, Chely - It Was
Wright, Chely - I Already Do
Wright, Chely - Horoscope
Wright, Chely - He's a Good Ol' Boy
Wright, Chely - Edge of Forever [w/Richard Marx]
Wright, Chely - Bumper of My SUV, The
Wright, Chely - Back of the Bottom Drawer
Wright, Gary - Love Is Alive
Wright, Gary - Dream Weaver
Wright, Gary - Don't Try to Own Me
Wright, Michelle - Your Love [w/Jim Brickman]
Wright, Michelle - Take It Like a Man
Wright, Michelle - One Time Around
Wright, Michelle - One Good Man
Wright, Michelle - Nobody's Girl
Wright, Michelle - He Would Be Sixteen
Wright, Michelle - Answer Is Yes, The
Wrights, The - Evie
Wu-Tang Clan - Break Ups to Make Ups [Method Man & D'Angelo]
Wu-Tang Clan - Bring the Pain [Method Man solo]
Wu-Tang Clan - Brooklyn Zoo [Ol' Dirty Bastard solo]
Wu-Tang Clan - Love at 1st Sight [Method Man & Mary J Blige]
Wu-Tang Clan - You Know I'm No Good [Ghostace Killah & Amy Winehouse]
Wu-Tang Clan - Blue Jeans [Ghostace Killah & Yasmeen]
Wu-Tang Clan -  see also  RZA 
Wu-Tang Clan -  see also  Ol' Dirty Bastard 
Wu-Tang Clan -  see also  Method Man 
Wu-Tang Clan -  see also  Ghostface Killah 
Wu-Tang Clan - Shimmy Shimmy Ya [Ol' Dirty Bastard solo]
Wurtzels - Combine Harvester
Wurtzels - I Am a Cider Drinker
Wyatt, Keke - My First Love [w/Avant]
Wyatt, Keke - Nothing in This World [w/Avant]
Wyclef - see  Jean, Wyclef 
Wylie, Pete - Sinful
Wyman, Bill - (Si Si) Je Suis Un Rock Star
Wyman, Bill -  see also  Rolling Stones 
Wynette, Tammy - This Time I Almost Made It
Wynette, Tammy - They Call It Making Love
Wynette, Tammy - Talkin' to Myself Again [w/The O'Kanes]
Wynette, Tammy - Take Me to Your World
Wynette, Tammy - Sweet Dreams
Wynette, Tammy - Stand By Your Man [w/Dolly Parton]
Wynette, Tammy - Stand By Your Man
Wynette, Tammy - Southern California
Wynette, Tammy - Sometimes When We Touch [w/Mark Gray]
Wynette, Tammy - Singing My Song
Wynette, Tammy - Silver Threads & Golden Needles [w/Dolly Parton]
Wynette, Tammy - Run, Woman, Run
Wynette, Tammy - Till I Can Make It on My Own
Wynette, Tammy - Till I Get It Right
Wynette, Tammy - You're Looking at Country
Wynette, Tammy - Your Good Girl's Gonna Go Bad
Wynette, Tammy - You Still Get to Me in My Dreams
Wynette, Tammy - You and Me
Wynette, Tammy - Woman to Woman
Wynette, Tammy - We're Not the Jet Set [w/George Jones]
Wynette, Tammy - We're Gonna Hold on [w/George Jones]
Wynette, Tammy - We Sure Can Love Each Other
Wynette, Tammy - Ways to Love a Man, The
Wynette, Tammy - Unwed Fathers
Wynette, Tammy - Two Story House [w/George Jones]
Wynette, Tammy - Too Far Gone
Wynette, Tammy - No Charge
Wynette, Tammy - Near You [w/George Jones]
Wynette, Tammy - Girl Thing [w/Wynonna Judd]
Wynette, Tammy - D-I-V-O-R-C-E
Wynette, Tammy - Did You Ever [w/George Jones]
Wynette, Tammy - Crying in the Rain
Wynette, Tammy - Cowboys Don't Shoot Straight (Like They Used To)
Wynette, Tammy - Ceremony, The [w/George Jones]
Wynette, Tammy - Candle in the Wind, (I'm Not a)
Wynette, Tammy - Bedtime Story
Wynette, Tammy - Apartment #9
Wynette, Tammy - Another Lonely Song
Wynette, Tammy - Another Chance
Wynette, Tammy - Almost Persuaded
Wynette, Tammy - God's Gonna Get 'Cha (For That) [w/George Jones]
Wynette, Tammy - Golden Ring [w/George Jones]
Wynette, Tammy - My Man (Understands)
Wynette, Tammy - My Elusive Dreams [w/George Jones]
Wynette, Tammy - My Elusive Dreams [w/David Houston]
Wynette, Tammy - Let's Get Together One Last Time
Wynette, Tammy - Kids Say the Darndest Things
Wynette, Tammy - Justified and Ancient [w/The KLF]
Wynette, Tammy - I'll See Him Through
Wynette, Tammy - If God Met You [w/George Jones]
Wynette, Tammy - I Still Believe in Fairy Tales
Wynette, Tammy - I Don't Wanna Play House
Wynette, Tammy - He Loves Me All the Way
Wynette, Tammy - Good Lovin' (Makes It Right)
Wynnette, Holly - My Future Ex-boyfriend
Wynonna - see  Judd, Wynonna 
Wynter, Mark - Venus in Blue Jeans
